mod_scheme,M,ebn0_db,Pb_sim,Pe_sim,Pb_theory,Pe_theory,coded
psk,2,0,0.0793,0.0793,0.07864960352514258,0.15729920705028516,False
psk,2,1,0.05725,0.05725,0.05628195197654147,0.11256390395308294,False
psk,2,2,0.03685,0.03685,0.03750612835892598,0.07501225671785196,False
psk,2,3,0.02288,0.02288,0.022878407561085334,0.04575681512217067,False
psk,2,4,0.01234,0.01234,0.012500818040737566,0.025001636081475133,False
psk,2,5,0.00646,0.00646,0.005953867147778661,0.011907734295557321,False
psk,2,6,0.00263,0.00263,0.0023882907809328066,0.004776581561865613,False
psk,2,7,0.00077,0.00077,0.0007726748153784444,0.001545349630756889,False
psk,2,8,0.00019,0.00019,0.00019090777407599314,0.0003818155481519863,False
psk,2,9,8e-05,8e-05,3.362722841961759e-05,6.725445683923519e-05,False
psk,2,10,0.0,0.0,3.872108215522049e-06,7.744216431044098e-06,False
psk,4,0,0.07909,0.1511,0.07864960352514258,0.15729920705028522,False
psk,4,1,0.05655,0.1101,0.05628195197654147,0.11256390395308294,False
psk,4,2,0.03703,0.07256,0.03750612835892598,0.07501225671785201,False
psk,4,3,0.02319,0.0458,0.022878407561085334,0.04575681512217067,False
psk,4,4,0.01267,0.02518,0.012500818040737566,0.025001636081475133,False
psk,4,5,0.00594,0.01184,0.005953867147778661,0.011907734295557333,False
psk,4,6,0.00215,0.0043,0.0023882907809328066,0.004776581561865619,False
psk,4,7,0.00078,0.00156,0.0007726748153784444,0.0015453496307568915,False
psk,4,8,0.00028,0.00056,0.00019090777407599314,0.0003818155481519871,False
psk,4,9,5e-05,0.0001,3.362722841961759e-05,6.725445683923519e-05,False
psk,4,10,0.0,0.0,3.872108215522049e-06,7.744216431044098e-06,False
psk,8,0,0.12242,0.3461734617346173,0.1161878553326204,0.3485635659978612,False
psk,8,1,0.09903,0.2871928719287193,0.09763706378539523,0.2929111913561857,False
psk,8,2,0.08115,0.23943239432394323,0.07932141777736901,0.23796425333210702,False
psk,8,3,0.06176,0.1838418384183842,0.0618251345896678,0.1854754037690034,False
psk,8,4,0.04612,0.13806138061380613,0.045790942734672414,0.13737282820401725,False
psk,8,5,0.03098,0.0928809288092881,0.03184330336407077,0.0955299100922123,False
psk,8,6,0.02045,0.06135061350613506,0.020479923891202897,0.061439771673608694,False
psk,8,7,0.01211,0.03633036330363304,0.011952769488034592,0.035858308464103775,False
psk,8,8,0.00585,0.017550175501755017,0.006181051750685379,0.01854315525205614,False
psk,8,9,0.00273,0.008190081900819008,0.00274813352965267,0.00824440058895801,False
psk,8,10,0.00102,0.003060030600306003,0.0010113953207128916,0.0030341859621386747,False
psk,16,0,0.17449,0.58068,0.1452715594824753,0.5810862379299012,False
psk,16,1,0.15044,0.5256,0.13395794547379555,0.5358317818951822,False
psk,16,2,0.13258,0.48552,0.12181498797037182,0.4872599518814873,False
psk,16,3,0.11592,0.43812,0.10893066282228764,0.43572265128915055,False
psk,16,4,0.09643,0.37376,0.0954557764318765,0.381823105727506,False
psk,16,5,0.08186,0.32224,0.08161707600107043,0.32646830400428173,False
psk,16,6,0.06819,0.27124,0.06772598480871872,0.2709039392348749,False
psk,16,7,0.05344,0.21348,0.05417752858915559,0.21671011435662235,False
psk,16,8,0.04205,0.16808,0.04143246526197408,0.16572986104789633,False
psk,16,9,0.03036,0.12144,0.02997578947663145,0.1199031579065258,False
psk,16,10,0.02011,0.08044,0.02024878980257835,0.0809951592103134,False
fsk,2,0,0.15685,0.15685,0.15865525393145707,0.15865525393145707,False
fsk,2,1,0.12881,0.12881,0.1309272967555245,0.1309272967555245,False
fsk,2,2,0.10378,0.10378,0.10402863708538868,0.10402863708538868,False
fsk,2,3,0.07849,0.07849,0.07889587198172443,0.07889587198172443,False
fsk,2,4,0.05596,0.05596,0.05649530174936167,0.05649530174936167,False
fsk,2,5,0.03789,0.03789,0.03767898814746342,0.03767898814746342,False
fsk,2,6,0.02345,0.02345,0.023007138877866037,0.023007138877866037,False
fsk,2,7,0.01271,0.01271,0.012587033122144623,0.012587033122144623,False
fsk,2,8,0.00546,0.00546,0.006004386400163567,0.006004386400163567,False
fsk,2,9,0.00236,0.00236,0.0024133104196338642,0.0024133104196338642,False
fsk,2,10,0.00082,0.00082,0.0007827011290012741,0.0007827011290012741,False
fsk,4,0,0.11846,0.17708,0.15729920705028516,0.23594881057542774,False
fsk,4,1,0.0881,0.13224,0.11256390395308294,0.16884585592962442,False
fsk,4,2,0.06095,0.09108,0.07501225671785196,0.11251838507677794,False
fsk,4,3,0.03864,0.05752,0.04575681512217067,0.068635222683256,False
fsk,4,4,0.02139,0.032,0.025001636081475133,0.0375024541222127,False
fsk,4,5,0.01026,0.01546,0.011907734295557321,0.017861601443335984,False
fsk,4,6,0.00417,0.00614,0.004776581561865613,0.00716487234279842,False
fsk,4,7,0.00173,0.00254,0.0015453496307568887,0.0023180244461353332,False
fsk,4,8,0.00031,0.00042,0.0003818155481519863,0.0005727233222279795,False
fsk,4,9,6e-05,8e-05,6.725445683923519e-05,0.00010088168525885278,False
fsk,4,10,0.0,0.0,7.744216431044096e-06,1.1616324646566146e-05,False
fsk,8,0,0.10176,0.17733177331773317,0.16652903332710087,0.29142580832242654,False
fsk,8,1,0.06826,0.11904119041190411,0.10393739206726715,0.18189043611771752,False
fsk,8,2,0.04178,0.07257072570725707,0.05843746482897154,0.1022655634507002,False
fsk,8,3,0.02134,0.03771037710377104,0.02884321382533376,0.05047562419433408,False
fsk,8,4,0.0104,0.017610176101761018,0.012097919626501443,0.021171359346377528,False
fsk,8,5,0.00397,0.006840068400684007,0.004139034976656657,0.00724331120914915,False
fsk,8,6,0.00108,0.001950019500195002,0.001096934991288424,0.0019196362347547423,False
fsk,8,7,0.00025,0.00045000450004500047,0.00021100236207940163,0.0003692541336389529,False
fsk,8,8,0.0,0.0,2.7138875527143833e-05,4.749303217250171e-05,False
fsk,8,9,0.0,0.0,2.1047582928051388e-06,3.683327012408993e-06,False
fsk,8,10,0.0,0.0,8.640926115655012e-08,1.5121620702396273e-07,False
fsk,16,0,0.08887,0.16696,0.18200105558543375,0.3412519792226883,False
fsk,16,1,0.05645,0.10528,0.09932010683288069,0.1862252003116513,False
fsk,16,2,0.02928,0.05396,0.04722932694924213,0.088554988029829,False
fsk,16,3,0.01308,0.0252,0.01890781480875184,0.0354521527664097,False
fsk,16,4,0.00481,0.00944,0.006102041736761658,0.011441328256428109,False
fsk,16,5,0.00121,0.00216,0.0015029775248646669,0.0028180828591212502,False
fsk,16,6,0.00027,0.00052,0.00026370920793468167,0.0004944547648775281,False
fsk,16,7,0.0,0.0,3.0217057523237596e-05,5.665698285607049e-05,False
fsk,16,8,0.0,0.0,2.0266461781509733e-06,3.799961584033075e-06,False
fsk,16,9,0.0,0.0,6.93093770425383e-08,1.2995508195475932e-07,False
fsk,16,10,0.0,0.0,1.0158514357883423e-09,1.9047214421031417e-09,False
psk,8,0,0.12861,0.3500135001350014,0.1161878553326204,0.3485635659978612,True
psk,8,1,0.10636,0.2946629466294663,0.09763706378539523,0.2929111913561857,True
psk,8,2,0.08579,0.24405244052440525,0.07932141777736901,0.23796425333210702,True
psk,8,3,0.0665,0.19152191521915218,0.0618251345896678,0.1854754037690034,True
psk,8,4,0.04847,0.14130141301413013,0.045790942734672414,0.13737282820401725,True
psk,8,5,0.03339,0.0982509825098251,0.03184330336407077,0.0955299100922123,True
psk,8,6,0.02117,0.06246062460624606,0.020479923891202897,0.061439771673608694,True
psk,8,7,0.01279,0.03801038010380104,0.011952769488034592,0.035858308464103775,True
psk,8,8,0.00642,0.01917019170191702,0.006181051750685379,0.01854315525205614,True
psk,8,9,0.00289,0.008670086700867009,0.00274813352965267,0.00824440058895801,True
psk,8,10,0.00096,0.0028800288002880027,0.0010113953207128916,0.0030341859621386747,True
